name,address,city,district,project_name,investor,price,area,bedroom,post_date,expiration_date,,,,,,,
"Cần bán căn 2PN Onsen view đẹp, Văn Giang, Hưng Yên","Dự án Swan Lake Onsen, Đường 379, Xã Xuân Quan, Văn Giang, Hưng Yên",Hưng Yên,Văn Giang,Swan Lake Onsen Residences,Công ty Cổ phần Tập đoàn Ecopark,3.264,72,2,17/12/2021,24/12/2021,,,,,,,
"Chủ nhà thân gửi bán căn 9 View, từ 1.4 tỷ tặng nội thất ht vay 70%, view khuôn viên 0706679167","Dự án 9 View Apartment, Đường Tăng Nhơn Phú, Phường Phước Long B, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,9 View Apartment,Công ty CP Tập đoàn Hưng Thịnh,0,58,2,12/12/2021,20/12/2021,,,,,,,
"Bán gấp CC 671 Hoàng Hoa Thám, Ba Đình, 112m2 3PN, 2WC, nhà đẹp, giá 3.7 tỷ, LH 0981 545 136","Dự án 671 Hoàng Hoa Thám, Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội",Hà Nội,Ba Đình,Chung cư 671 Hoàng Hoa Thám,Tổng Công ty Viglacera,3.7,112,3,17/12/2021,24/12/2021,,,,,,,
Giỏ hàng 2 phòng ngủ giá tốt nhất tại Sunwah Pearl - chính chủ gửi bán,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,Công ty CP Sun Wah Properties,9,109,2,17/12/2021,25/12/2021,,,,,,,
"Cần Bán căn hộ C/C Oriental giá tốt mùa dịch 3t1,sổ,DT 89m2,2PN, full NT, view cực đẹp, 0908744691","Dự án Oriental Plaza, Đường Âu Cơ, Phường Tân Thành, Tân Phú, Hồ Chí Minh",Hồ Chí Minh,Tân Phú,Oriental Plaza 685 Âu Cơ,Công ty TNHH BĐS Đông Phương Phát,3.1,89,2,17/12/2021,24/12/2021,,,,,,,
Chính chủ cần bán nhanh căn hộ PH tại Thành phố Nha Trang - 0908620102,"Dự án PH Nha Trang, Phường Vĩnh Nguyên, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,PH Nha Trang,Công ty CP Tập đoàn Đầu tư P.H,1.55,64,2,17/12/2021,24/12/2021,,,,,,,
"Chính chủ cần bán căn góc 121m2, CC Imperia Garden 3PN + 1 tòa A view nội khu 0948507394 5,2 tỷ","Dự án Imperia Garden, 203 Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Imperia Garden,Công ty CP Đầu tư và Phát triển Hòa Bình - HBI,5.2,121,3,14/12/2021,21/12/2021,,,,,,,
"Căn hộ ngay KCN Vsip 1 chỉ từ 1,1tỷ/2PN PTTT2%, CK10% vay 75% tầng trung view hồ bơi. LH 0938938612","Dự án Tecco Felice Homes, Đường Lê Thị Trung, Phường An Phú, Thuận An, Bình Dương",Bình Dương,Thuận An,Tecco Felice Homes,"1 block cao 22 tầng nổi, 1 tầng hầm",0,65,2,14/12/2021,21/12/2021,,,,,,,
"Cần bán 800tr căn 45m2 HH4 Linh Đàm, Hoàng Mai, 1 ngủ, 1WC, nội thất cơ bản, giá thương lượng","Dự án HH4 Linh Đàm, Đường Linh Đường, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,HH4 Linh Đàm,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,0.8,45,1,17/12/2021,24/12/2021,,,,,,,
"Bán căn 4PN dự án C22 Bộ Công An (The Park Home) view công viên hồ điều hòa. Giá 8,5 tỷ","Dự án The Park Home, Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Hà Nội,Cầu Giấy,The Park Home,Tổng Công ty Đầu tư và Phát triển nhà Hà Nội (HANDICO),8.5,155,4,17/12/2021,25/12/2021,,,,,,,
"Chủ kẹt tiền bán gấp Kingdom 101 2PN view Đông Nam 5tỷ250 bao 5% sổ, tất cả thuế phí","Kingdom 101, 334, Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",Hồ Chí Minh,Quận 10,Kingdom 101,Gồm 3 Block cao 30 tầng,5.25,72,2,17/12/2021,24/12/2021,,,,,,,
"Bán gấp căn hộ cao cấp Lotus Garden, Quận Tân Phú, giá 2,18 tỷ","Dự án Lotus Garden, Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh",Hồ Chí Minh,Tân Phú,Lotus Garden,Công ty CP Việt Âu,2.18,67,2,17/12/2021,24/12/2021,,,,,,,
"Cần bán căn hộ 3 phòng ngủ, chung cư The Gold View, quận 4, giá: 5.5 tỷ, LH: 0909.039.369","Dự án The Gold View, Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",Hồ Chí Minh,Quận 4,The Gold View,Công ty CP May - Diêm Sài Gòn,5.5,110,3,17/12/2021,24/12/2021,,,,,,,
"Bán căn 3 phòng ngủ The Pride 101m2, 97m2, 94 - 95m2 giá bán 2 tỷ","Dự án The Pride, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",Hà Nội,Hà Đông,The Pride,Công ty CP Đầu tư và Kinh doanh Bất động sản Hải Phát (Hải Phát Land),1.94,97,3,17/12/2021,24/12/2021,,,,,,,
"Quỹ căn chuyển nhượng giá tốt nhất Phương Đông Green Park 1.6tỷ/2PN, 2.4tỷ/3PN, 0969560325","Dự án Green Park Trần Thủ Độ, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Green Park Trần Thủ Độ,Công ty TNHH MTV đầu tư Phương Đông,1.6,60,2,17/12/2021,25/12/2021,,,,,,,
"Chính chủ bán cắt lỗ CH DT 121m2 thông thủy tháp A chung cư Imperia Garden giá 5,3 tỷ 0948507394","Dự án Imperia Garden, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Imperia Garden,Công ty CP Đầu tư và Phát triển Hòa Bình - HBI,5.3,121,3,17/12/2021,24/12/2021,,,,,,,
"Tôi cần bán căn hộ Vinhomes Central Park 79.1m2, 2PN tòa Landmark 4 view sông lý tưởng","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,5.6,79.1,2,17/12/2021,24/12/2021,,,,,,,
"Sang nhà mới bán gấp CHCC An Bình City, 3PN, TT 114m2, BC Đông Nam, giá 4 tỷ. LH: 0969679541","Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",Hà Nội,Bắc Từ Liêm,An Bình City,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,4,114,3,13/12/2021,20/12/2021,,,,,,,
Căn hộ Unico Thăng Long - sắp nhận nhà. Giá tốt nhất thị trường Bình Dương. Đầu tư lợi nhuận cao,"Dự án Unico Thăng Long, Đường Quốc Lộ 13, Phường Tân Định, Bến Cát, Bình Dương",Bình Dương,Bến Cát,Unico Thăng Long,"2 block, 822 căn hộ",0.948,47,2,17/12/2021,24/12/2021,,,,,,,
"Cần bán gấp căn hộ 178m2, toà B chung cư cao cấp 671 Hoàng Hoa Thám, Ba Đình, Hà Nội giá 7.5 tỷ","Dự án 671 Hoàng Hoa Thám, Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội.",Hà Nội,Ba Đình,Chung cư 671 Hoàng Hoa Thám,Tổng Công ty Viglacera,7.5,178,3,17/12/2021,24/12/2021,,,,,,,
Căn 1 ngủ + 1 S 46m2 full đồ giá chỉ: 1.3 tỷ Vinhomes Ocean Park. 0984709875,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,Vinhomes Ocean Park Gia Lâm,Tập đoàn Vingroup,1.3,46,1,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ 1PN + 1 Saigon Royal, Quận 4, giá bán 4.5 tỷ, diện tích 59m2, view hồ bơi đẹp","Dự án Saigon Royal Residence, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh",Hồ Chí Minh,Quận 4,Saigon Royal Residence,Novaland Group,4.5,59,2,17/12/2021,24/12/2021,,,,,,,
"Bcons Garden, giá 1,22 tỷ, 2PN 1WC","Dự án Bcons Garden, Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương",Bình Dương,Dĩ An,Bcons Garden,1.834 căn hộ,1.22,43,2,14/12/2021,21/12/2021,,,,,,,
"Chính chủ bán căn hộ 128,8m2 thiết kế 3 pn 2 vệ sinh giá 38tr/m2 view hồ, lh: 0396116555","Times Tower - HACC1 Complex Building, 35, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Times Tower - HACC1 Complex Building,Công ty CP xây dựng số 1 Hà Nội,4.8944,128.8,3,17/12/2021,24/12/2021,,,,,,,
"Căn hộ chung cư 95m2 - 3PN, giá cực đẹp chỉ 2,7 tỷ, liên hệ trực tiếp: 0989 684 754","Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",Hà Nội,Long Biên,Bình Minh Garden,Cen Group,2.7,95,3,17/12/2021,24/12/2021,,,,,,,
"Sở hữu căn hộ 5 sao mặt vịnh Hạ Long chỉ từ 700tr, sổ hồng lâu dài, HTLS đến khi nhận nhà","A La Carte Hạ Long Bay, Bán đảo 2, Phường Hùng Thắng, Hạ Long, Quảng Ninh",Quảng Ninh,Hạ Long,A La Carte Hạ Long Bay,"02 tầng hầm, 39 tầng, 02 tầng kỹ thuật, 01 tum",2.8,70,2,17/12/2021,27/12/2021,,,,,,,
Bán gấp căn 3 phòng ngủ Sunwah Pearl SH1x.01 giá gốc chủ đầu tư 125m2 giá 14.5 tỷ. LH 0938839139,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,Công ty CP Sun Wah Properties,14.5,125,3,17/12/2021,24/12/2021,,,,,,,
"Giá tốt! Giỏ hàng căn hộ The Pegasuite, Q. 8 - Loại căn 2PN - 3PN giá chỉ 2.45 tỷ. LH: 0903236561","The Pegasuite, 1002, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",Hồ Chí Minh,Quận 8,The Pegasuite,Công ty CP Đầu tư và Kinh doanh Bất động sản Phương Việt (PVInvest),2.6,666,2,17/12/2021,24/12/2021,,,,,,,
Tôi cần bán gấp căn 3 PN giá tốt DT 112m2 giá 3.1 tỷ bao đồ (700tr) Landmark N04B LH 0843197288,"Dự án N04B Ngoại Giao Đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",Hà Nội,Bắc Từ Liêm,N04B Ngoại Giao Đoàn,Công ty CP Đầu tư Xây dựng BĐS Lanmak,3.1,112,3,17/12/2021,24/12/2021,,,,,,,
"Chấp nhận bán lỗ mùa dịch căn hộ 3PN chung cư Seasons Avenue, tòa S1, BC Đông Mam cực mát, view đẹp","Dự án Seasons Avenue, Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Seasons Avenue,Tập đoàn CapitaLand,0,105,3,17/12/2021,24/12/2021,,,,,,,
"Bán WH2x.01 căn hộ Sunwah Pearl 99m2, giá 8.5 tỷ. Liên hệ 0938839139 xem nhà thực tế","Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,Công ty CP Sun Wah Properties,8.5,99,2,17/12/2021,24/12/2021,,,,,,,
"Căn hộ MT Eastmark City tại TP. Thủ Đức - chỉ 36tr/m2, thanh toán 30 tháng. Pkd 0912598058","Dự án Chung cư MT Eastmark City, Đường Vành Đai 3, Phường Long Trường, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,Công ty TNHH Xây dựng và Kinh doanh Nhà Điền Phúc Thành,2.268,63,1,17/12/2021,24/12/2021,,,,,,,
Căn 2 ngủ Helios 70m2 full nội thất + bao phí + chỗ đỗ ô tô giá ngon 2.3 tỷ,"Dự án Helios Tower 75 Tam Trinh, Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Helios Tower 75 Tam Trinh,"Công ty CP Phát triển Đô thị Từ Liêm - LIDECO, JSC",2.34,70,2,13/12/2021,23/12/2021,,,,,,,
"Bán nhanh căn hộ 1 phòng ngủ tại toà P3, nhà mới đẹp full đồ - 2.65 tỷ bao phí","Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Vinhomes Times City - Park Hill,Tập đoàn Vingroup,2.65,53.3,1,17/12/2021,24/12/2021,,,,,,,
"Bán suất ngoại giao căn 3PN Ecopark, DT 132.99m2, view hồ thiên nga Landmark, vốn ban đầu 15% GTCH","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên",Hưng Yên,Văn Giang,Khu đô thị Ecopark,Công ty Cổ phần Tập đoàn Ecopark,0,132.99,3,17/12/2021,24/12/2021,,,,,,,
"Căn 2 ngủ Helios 70m2 tầng trung, hướng đẹp, đầy đủ nội thất ,sổ đỏ chính chủ","Dự án Helios Tower 75 Tam Trinh, Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Helios Tower 75 Tam Trinh,"Công ty CP Phát triển Đô thị Từ Liêm - LIDECO, JSC",2.65,70,2,13/12/2021,23/12/2021,,,,,,,
"Căn góc 80m2 Helios tầng trung, nội thất xịn giá thỏa thuận","Dự án Helios Tower 75 Tam Trinh, Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Helios Tower 75 Tam Trinh,"Công ty CP Phát triển Đô thị Từ Liêm - LIDECO, JSC",2.85,80,2,13/12/2021,23/12/2021,,,,,,,
"Chính chủ bán căn 105m2 tòa 17T Vinaconex 3 Trung Văn, giá 2,85 tỷ full hết đồ LH - 0909 647 986","Dự án CT1 Trung Văn - Vinaconex 3, Đường Cương Kiên, Phường Trung Văn, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,CT1 Trung Văn - Vinaconex 3,Công ty CP Xây dựng số 3 - VINACONEX3,2.85,105,3,17/12/2021,24/12/2021,,,,,,,
"Bán WH2x.05 căn hộ Sunwah Pearl 99m2, giá 8.7 tỷ. Liên hệ 0938839139 xem nhà thực tế","Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,Công ty CP Sun Wah Properties,8.7,99,2,11/12/2021,18/12/2021,,,,,,,
Bán các căn hộ đẹp tại chung cư khu đô thị Mỹ Đình Sông Đà!,"Dự án Sudico Mỹ Đình, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Khu đô thị Mỹ Đình Sông Đà - Sudico,Công ty CP Đầu tư Phát triển Đô thị và KCN Sông Đà - Sudico,3.0385,103,3,17/12/2021,24/12/2021,,,,,,,
Hot! căn hộ Vinhomes Central Park 108.7m2 3PN tòa Landmark 5 không gian sống đẳng cấp,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,8.3,108.7,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ bán căn 105m2 tòa 17T Vinaconex 3 Trung Văn, giá 2,85 tỷ full hết đồ LH - 0909 647 986","Dự án CT1 Trung Văn - Vinaconex 3, Đường Cương Kiên, Phường Trung Văn, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,CT1 Trung Văn - Vinaconex 3,Công ty CP Xây dựng số 3 - VINACONEX3,2.85,105,3,17/12/2021,24/12/2021,,,,,,,
"Bán WH2x.05 căn hộ Sunwah Pearl 99m2, giá 8.7 tỷ. Liên hệ 0938839139 xem nhà thực tế","Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,Công ty CP Sun Wah Properties,8.7,99,2,11/12/2021,18/12/2021,,,,,,,
Bán các căn hộ đẹp tại chung cư khu đô thị Mỹ Đình Sông Đà!,"Dự án Sudico Mỹ Đình, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Khu đô thị Mỹ Đình Sông Đà - Sudico,Công ty CP Đầu tư Phát triển Đô thị và KCN Sông Đà - Sudico,3.0385,103,3,17/12/2021,24/12/2021,,,,,,,
Hot! căn hộ Vinhomes Central Park 108.7m2 3PN tòa Landmark 5 không gian sống đẳng cấp,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,8.3,108.7,3,17/12/2021,24/12/2021,,,,,,,
"Cần tiền bán gấp căn hộ Flemington, vip nhất Q. 11, rộng 120m2, 3PN. Giá 4.95 tỷ (giá tốt)","Dự án The Flemington, 184 Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",Hồ Chí Minh,Quận 11,The Flemington,Công ty CP Bảo Gia,4.95,120,3,17/12/2021,24/12/2021,,,,,,,
"Bán CC Oriental Westlake 3.4 tỷ/2PN, 91m2 full đồ, 174 Lạc Long Quân, sổ đỏ ở ngay, KM 130 triệu","Dự án Oriental Westlake, 174 Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Chung cư Oriental Westlake,Công ty CP xây dựng số 1 Hà Nội,3.4,91,2,13/12/2021,20/12/2021,,,,,,,
Cập nhật giỏ hàng bán lỗ The Metropole Tháng 10/2021. Liên hệ 0938506906 gặp Anh Chris xem nhà,"Dự án The Metropole, Phường An Khánh, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,The Metropole Thủ Thiêm,Công ty CP bất động sản SơnKim Land,12.5,110,2,11/12/2021,18/12/2021,,,,,,,
Nhận Booking tháp Sea Grand Marina Saigon khu hàng hiệu Marriott. Liên hệ 0938 506 906 xem nhà mẫu,"Grand Marina Saigon, 02, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Hồ Chí Minh,Quận 1,Grand Marina Saigon,Masterise Group,21,60,1,11/12/2021,18/12/2021,,,,,,,
"Chính chủ bán gấp CH Xi Grand Court, 78m2, 2PN, full nhà đẹp như mơ. Gía 4.2 tỷ, LH 0702086614","Xi Grand Court, 256, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",Hồ Chí Minh,Quận 10,Xi Grand Court,Công ty CP Đầu tư xây dựng Phú Sơn Thuận,4.2,78,2,17/12/2021,24/12/2021,,,,,,,
Bán nhanh W3X.02 (3PN) 93m2 Lumiere Suất CĐT. Giá 11.8 tỷ (Gồm VAT + PBT) PKD 0938 506 906,"Dự án Masteri Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,Masteri Lumiere Riverside,Công ty CP Ðịa ốc Thảo Ðiền,11.8,93,3,11/12/2021,18/12/2021,,,,,,,
"Bán lỗ căn hộ 3 phòng ngủ Sunwah Pearl giá 10.8 tỷ, tầng cao. Liên hệ 0938 506 906 xem nhà thực tế","Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,Công ty CP Sun Wah Properties,10.8,133,3,11/12/2021,18/12/2021,,,,,,,
"Bán lỗ căn hộ 4 phòng ngủ tầng 8 The Marq Quận 1, giá 24.2 tỷ. gọi 0938506906","Dự án The Marq, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh",Hồ Chí Minh,Quận 1,The MarQ,Tập đoàn Hongkong Land,24.2,146,4,11/12/2021,18/12/2021,,,,,,,
"Tôi chính chủ bán gấp CH Xi Grand Court, 90m2, 3PN, full NT, nhà đẹp như mơ. Gía 4.7 tỷ","Xi Grand Court, 265, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",Hồ Chí Minh,Quận 10,Xi Grand Court,Công ty CP Đầu tư xây dựng Phú Sơn Thuận,4.7,90,3,17/12/2021,24/12/2021,,,,,,,
"Bán căn góc 04 tòa Moon, Tây Hồ Residence, hướng Đông, km khủng 230 triệu, chỉ 3,6 tỷ/75m2, ở ngay","Dự án Tây Hồ Residence, 68A Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Tây Hồ Residence,Công ty CP Đầu tư Xây dựng Phát triển nhà số 7 Hà Nội,3.6,75,2,13/12/2021,20/12/2021,,,,,,,
"Bán lỗ căn hộ WH2X.02 Sunwah Pearl giá 4.85 tỷ, tầng cao. Liên hệ 0938 506 906 xem nhà thực tế","Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,Công ty CP Sun Wah Properties,4.85,53,1,11/12/2021,18/12/2021,,,,,,,
"Cần tiền đầu tư muốn bán nhanh căn hộ 3 phòng ngủ, 2WC tại Home City Trung Kính, giá bán 3.6 tỷ","Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",Hà Nội,Cầu Giấy,Home City Trung Kính,Công ty CP Đầu tư Văn Phú - Invest,3.6,98,3,17/12/2021,24/12/2021,,,,,,,
"Tôi chính chủ bán gấp CH Xi Grand Court, 110m2, 3PN, full nhà đẹp như mơ. Gía 6.5 tỷ 0702086614","Xi Grand Court, 256, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",Hồ Chí Minh,Quận 10,Xi Grand Court,Công ty CP Đầu tư xây dựng Phú Sơn Thuận,6.5,110,3,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ Lumiere E3X.14 (96.4m2), giá 11.6 tỷ giá gốc không chêch, liên hệ 0938 506 906 Anh Thọ","Dự án Masteri Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,Masteri Lumiere Riverside,Công ty CP Ðịa ốc Thảo Ðiền,11.6,96.4,3,17/12/2021,24/12/2021,,,,,,,
"Giá sập sàn cần bán gấp, và 97m2 có nội thất có nội thất giá 2tỷ050, nhà đẹp","Dự án The Era Town, Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Hồ Chí Minh,Quận 7,The Era Town,Công ty CP Đức Khải,1.98,97,2,17/12/2021,24/12/2021,,,,,,,
Căn hiếm duplex tại D'Edge Thảo điền - 256m2 - view trực diện sông - giá 35 tỷ,"Dự án D'Edge Thảo Điền, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,D'Edge Thảo Điền,Tập đoàn CapitaLand,35,256,4,17/12/2021,24/12/2021,,,,,,,
"Bán căn Penthouse, the view Riviera Point, full nội thất, quận 7","Dự án The View Riviera Point, Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Hồ Chí Minh,Quận 7,The View Riviera Point,Công ty TNHH Keppel Land Việt Nam,30.4,304,3,17/12/2021,27/12/2021,,,,,,,
"Bán gấp căn hộ CC Celadon, 70m2, 2PN, giá 2tỷ4, hỗ trợ vay NH 80%, LH: 0909.279.669 Như Ý","Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Hồ Chí Minh,Tân Phú,Celadon City,Công ty TNHH Gamuda Land Việt Nam,2.4,70,2,17/12/2021,24/12/2021,,,,,,,
"Chuyên bán căn hộ chung cư 4S Riverside Bình Triệu, 2 phòng 2 WC. Cung cấp nhiều sự lựa chọn cho KH","Dự án 4S Riverside Garden, Đường 17, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Hồ Chí Minh,Thủ Đức,4S Riverside Garden Bình Triệu,Công ty Xây dựng & Phát triển nhà Thành Trường Lộc,2.7,70,2,12/12/2021,19/12/2021,,,,,,,
"Cần bán căn hộ 3 ngủ tòa CT12B Kim Văn Kim Lũ - sổ CC - nội thất để lại toàn bộ, full đồ","Dự án Kim Văn Kim Lũ, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),Công ty CP Xây dựng số 2 - Vinaconex2,0,73.6,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ tôi cần bán căn 90,59m2, 3PN, 2WC tòa CT2 Yên Nghĩa, ban công Đông Nam, sổ đỏ đầy đủ","Dự án CT2 Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội",Hà Nội,Hà Đông,CT2 Yên Nghĩa,Tổng công ty đầu tư phát triển nhà và đô thị Bộ Quốc Phòng,0,90.59,3,17/12/2021,25/12/2021,,,,,,,
"Bán CC The Pegasuite 1PN giá 1.450tỷ - 1.8tỷ, 2PN giá 2.3tỷ - 2.8tỷ, 3PN giá 3,3tỷ. LH:0917.322.959","The Pegasuite, 1002, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",Hồ Chí Minh,Quận 8,The Pegasuite,Công ty CP Đầu tư và Kinh doanh Bất động sản Phương Việt (PVInvest),1.45,35,1,17/12/2021,24/12/2021,,,,,,,
"Cơ hội đầu tư chưa từng có với chiết khấu lên đến 34% giá trị căn hộ. Căn 2PN giá 2,4 tỷ còn 1,5 tỷ","Dự án Biên Hoà Universe Complex, Đường Xa Lộ Hà Nội, Phường Hố Nai, Biên Hòa, Đồng Nai",Đồng Nai,Biên Hòa,Biên Hoà Universe Complex,Công ty TNHH Việt Thuận Thành,2.4,67,2,17/12/2021,24/12/2021,,,,,,,
"Bán nhanh CH 1PN 1WC full nội thất 50m2, LH 0938336030 Tài","Dự án Sài Gòn Mia, Đường Số 9A, Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,Sài Gòn Mia,Công ty CP Tập đoàn Hưng Thịnh,2.6,50,1,17/12/2021,24/12/2021,,,,,,,
20 Suất cuối Chiết khấu 5% từ Rổ hàng CĐT Unico. Nhận ngay xe Vision Đời mới khi ký Hợp Đồng,"Dự án Unico Thăng Long, Đường Quốc Lộ 13, Phường Tân Định, Bến Cát, Bình Dương",Bình Dương,Bến Cát,Unico Thăng Long,"2 block, 822 căn hộ",0.994,45,2,17/12/2021,24/12/2021,,,,,,,
